pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
184.15,-58.42,0.0,top,C1,,,C_Radial_D5.0mm_H11.0mm_P2.00mm,2.2uF,tht
123.23,-105.37,90.0,top,C10,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
144.82,-153.67,0.0,top,C11,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
144.82,-123.19,0.0,top,C12,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
144.82,-87.63,0.0,top,C13,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
144.86,-57.15,0.0,top,C14,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
111.165,-133.35,0.0,top,C15,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
119.38,-105.37,90.0,top,C16,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
98.505,-133.35,0.0,top,C17,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
205.78,-93.98,0.0,top,C18,,,C_Radial_D5.0mm_H11.0mm_P2.00mm,10uf,tht
205.78,-106.68,0.0,top,C19,,,C_Radial_D5.0mm_H11.0mm_P2.00mm,10uf,tht
199.35,-54.61,180.0,top,C2,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,1nF,tht
187.92,-102.87,180.0,top,C20,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
184.15,-78.78,-90.0,top,C21,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
184.19,-144.82,-90.0,top,C22,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
189.23,-83.78,90.0,top,C23,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
189.31,-149.82,90.0,top,C24,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
182.92,-97.79,0.0,top,C25,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
123.865,-39.37,0.0,top,C26,,,CP_Radial_D12.5mm_P5.00mm,330uF,tht
115.57,-39.37,180.0,top,C27,,,CP_Radial_D12.5mm_P5.00mm,330uF,tht
102.235,-39.37,180.0,top,C28,,,CP_Radial_D12.5mm_P5.00mm,330uF,tht
223.303959,-64.77,180.0,top,C29,,,CP_Radial_D12.5mm_P5.00mm,330uF,tht
194.35,-69.85,0.0,top,C3,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,1nF,tht
184.19,-124.46,0.0,top,C4,,,C_Radial_D5.0mm_H11.0mm_P2.00mm,2.2uF,tht
199.35,-120.65,180.0,top,C5,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,1nF,tht
194.35,-135.89,0.0,top,C6,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,1nF,tht
111.16,-110.49,0.0,top,C7,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
98.46,-110.49,0.0,top,C8,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
122.595,-133.35,0.0,top,C9,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
213.36,-87.63,0.0,top,D1,,,D_A-405_P7.62mm_Horizontal,1N4007,tht
222.25,-74.295,0.0,top,D2,,,D_A-405_P7.62mm_Horizontal,1N4007,tht
