pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
160.545,-63.115,0.0,top,C1,,,C_Radial_D5.0mm_H11.0mm_P2.00mm,2.2uF,tht
96.555,-107.91,90.0,top,C10,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
124.62,-159.385,0.0,top,C11,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
124.62,-128.905,0.0,top,C12,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
124.62,-93.345,0.0,top,C13,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
124.66,-62.865,0.0,top,C14,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
84.49,-135.89,0.0,top,C15,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
92.705,-107.91,90.0,top,C16,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
71.83,-135.89,0.0,top,C17,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
182.175,-98.675,0.0,top,C18,,,C_Radial_D5.0mm_H11.0mm_P2.00mm,10uf,tht
182.175,-111.375,0.0,top,C19,,,C_Radial_D5.0mm_H11.0mm_P2.00mm,10uf,tht
175.745,-59.305,180.0,top,C2,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,1nF,tht
164.315,-107.565,180.0,top,C20,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
160.545,-83.475,-90.0,top,C21,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
160.585,-149.515,-90.0,top,C22,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
165.625,-88.475,90.0,top,C23,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
165.705,-154.515,90.0,top,C24,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
159.315,-102.485,0.0,top,C25,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
88.34,-41.275,0.0,top,C26,,,CP_Radial_D12.5mm_P5.00mm,330uF,tht
75.005,-41.275,0.0,top,C27,,,CP_Radial_D12.5mm_P5.00mm,330uF,tht
106.595,-41.275,180.0,top,C28,,,CP_Radial_D12.5mm_P5.00mm,330uF,tht
199.698959,-65.655,180.0,top,C29,,,CP_Radial_D12.5mm_P5.00mm,330uF,tht
170.745,-74.545,0.0,top,C3,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,1nF,tht
79.925,-85.725,180.0,top,C30,,,CP_Radial_D12.5mm_P5.00mm,2200uF,tht
95.165,-85.725,180.0,top,C31,,,CP_Radial_D12.5mm_P5.00mm,2200uF,tht
160.585,-129.155,0.0,top,C4,,,C_Radial_D5.0mm_H11.0mm_P2.00mm,2.2uF,tht
175.745,-125.345,180.0,top,C5,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,1nF,tht
170.745,-140.585,0.0,top,C6,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,1nF,tht
84.485,-113.03,0.0,top,C7,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
71.785,-113.03,0.0,top,C8,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
95.92,-135.89,0.0,top,C9,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nf,tht
189.755,-92.325,0.0,top,D1,,,D_A-405_P7.62mm_Horizontal,1N4007,tht
198.645,-76.695,0.0,top,D2,,,D_A-405_P7.62mm_Horizontal,1N4007,tht
200.545,-47.875,0.0,top,D3,,,LED_D5.0mm,LED,tht
193.56,-47.875,0.0,top,D4,,,LED_D5.0mm,LED,tht
